joborder_id,company_id,recruiter,owner,title,type,salary,status,city,country,openings,start_date,date_created,date_modified,discipline,work_arrangement,owning_office
67,891,184,184,FP&A Analyst,H,HK$437k - HK$521k,Full,Hong Kong,HK,1,2022-12-14 17:37:12,2022-10-15 17:40:07,2022-12-03 14:56:27,"Accountancy, Finance & Audit",Office,Hong Kong
68,923,197,197,Business Analyst,H,S$141k - S$159k,Full,Singapore,SG,1,2022-12-14 12:33:57,2022-10-15 09:06:14,2022-12-12 17:39:56,Transformation & Change,Hybrid,Singapore
69,204,38,37,Senior Compliance Officer,H,£72k - £88k,Full,London,GB,1,2022-12-15 15:34:19,2022-10-16 12:27:48,2022-11-08 16:07:19,Risk & Compliance,Remote,London
70,727,160,160,Cloud Architect,H,USD 126k,Full,New York,US,1,2022-12-15 10:10:41,2022-10-16 15:59:03,2022-12-05 12:32:36,Technology,Office,New York
71,5,6,6,In-house Counsel,H,£96k - £114k,Full,Manchester,GB,1,,2022-10-17 14:39:41,2022-12-17 09:23:50,Legal,Office,Manchester
72,35,20,20,BI Developer,H,£73k - £88k,Full,Manchester,GB,1,,2022-10-17 15:37:50,2022-11-25 08:42:05,Technology,Remote,Manchester
73,538,101,97,Senior Regulatory Lawyer,H,€55k - €64k,Full,Madrid,ES,2,2022-12-16 10:38:38,2022-10-17 10:37:45,2022-12-15 11:32:06,Legal,Hybrid,Madrid
74,581,107,107,Product Owner,H,EUR 70k,Closed,Paris,FR,1,2022-12-16 18:56:34,2022-10-17 15:03:19,2022-11-17 17:52:43,Transformation & Change,Hybrid,Paris
75,633,135,135,FP&A Analyst,H,CHF 102k,Full,Zurich,CH,1,2022-12-16 09:49:16,2022-10-17 11:59:52,2022-12-05 17:24:35,"Accountancy, Finance & Audit",Hybrid,Zurich
76,790,167,167,In-house Counsel,H,$135k - $163k,Full,New York,US,1,,2022-10-17 08:18:23,2022-11-13 15:37:50,Legal,Remote,New York
77,243,48,48,Business Analyst,H,86000,Full,London,GB,1,2022-12-17 18:34:27,2022-10-18 12:39:35,2022-11-12 10:46:08,Transformation & Change,Remote,London
78,423,83,83,Programme Director,H,"71,000",Full,Amsterdam,NL,1,,2022-10-18 12:37:50,2022-12-03 11:20:19,Transformation & Change,Hybrid,Amsterdam
79,531,98,97,In-house Counsel,H,"63,000",Closed,Madrid,ES,1,2022-12-17 17:52:00,2022-10-18 12:31:19,2022-11-12 09:19:53,Legal,Remote,Madrid
80,601,111,111,Business Analyst,H,82000,OnHold,Paris,FR,1,,2022-10-18 12:22:36,2022-11-15 18:17:22,Transformation & Change,Hybrid,Paris
81,637,133,133,Internal Auditor,H,84000,Full,Zurich,CH,2,2022-12-17 14:30:17,2022-10-18 08:49:41,2022-12-15 14:59:25,"Accountancy, Finance & Audit",Office,Zurich
82,683,140,140,Credit Risk Analyst,H,Competitive,Full,Zurich,CH,1,,2022-10-18 08:48:17,2022-11-26 10:39:24,Risk & Compliance,Remote,Zurich
83,14,3,3,Capital Modelling Actuary,H,GBP 86k,Full,Manchester,GB,1,,2022-10-19 12:45:04,2022-12-07 15:06:35,Actuarial,Hybrid,Manchester
84,171,31,31,Senior Regulatory Lawyer,H,122000,Full,London,GB,1,2022-12-18 13:54:01,2022-10-19 16:59:10,2022-11-30 17:28:01,Legal,Hybrid,London
85,626,121,121,Claims Manager,H,EUR 90k,Full,Paris,FR,1,2022-12-18 18:07:39,2022-10-19 12:17:10,2022-11-27 11:40:56,"Underwriting, Broking & Claims",Hybrid,Paris
86,835,175,174,Credit Risk Analyst,H,$98k - $119k,Closed,Charlotte,US,1,2022-12-18 11:56:11,2022-10-19 08:53:56,2022-11-25 15:03:27,Risk & Compliance,Hybrid,Charlotte
87,953,195,195,Business Analyst,H,104000,Full,Singapore,SG,1,2022-12-18 14:55:38,2022-10-19 17:12:05,2022-11-18 15:42:06,Transformation & Change,Hybrid,Singapore
88,256,57,57,Senior Capital Modelling Actuary,H,104000,Closed,London,GB,1,,2022-10-20 14:23:54,2022-12-04 16:22:26,Actuarial,Remote,London
89,549,122,122,Senior Commercial Lawyer,H,€83k - €100k,Full,Paris,FR,1,,2022-10-20 17:31:00,2022-12-17 12:02:23,Legal,Hybrid,Paris
90,623,124,121,Claims Manager,H,"56,000",Closed,Paris,FR,1,,2022-10-20 12:11:06,2022-11-17 11:12:15,"Underwriting, Broking & Claims",Hybrid,Paris
91,640,141,141,Product Owner,H,CHF 127k - CHF 147k,Full,Zurich,CH,1,2022-12-19 18:58:25,2022-10-20 15:59:42,2022-11-24 09:14:36,Transformation & Change,Hybrid,Zurich
92,732,166,165,Regulatory Lawyer,H,145000,Full,New York,US,1,2022-12-19 14:27:33,2022-10-20 17:04:47,2022-12-17 10:15:35,Legal,Office,New York
93,1,9,9,Tax Manager,H,£59k - £68k,Full,Manchester,GB,1,2022-12-20 15:53:44,2022-10-21 16:48:13,2022-11-29 12:38:29,"Accountancy, Finance & Audit",Hybrid,Manchester
94,190,41,41,Financial Crime Analyst,H,90000,Full,London,GB,2,2022-12-20 13:25:18,2022-10-21 12:18:12,2022-11-26 11:58:08,Risk & Compliance,Remote,London
95,329,42,42,Credit Risk Analyst,H,£67k - £77k,OnHold,London,GB,1,2022-12-20 14:04:20,2022-10-21 18:15:09,2022-11-19 12:40:23,Risk & Compliance,Hybrid,London
96,422,80,79,Regulatory Lawyer,H,137000,Closed,Amsterdam,NL,1,2022-12-20 12:27:20,2022-10-21 09:09:12,2022-11-11 14:52:06,Legal,Office,Amsterdam
97,444,84,79,Senior Change Manager,H,€96k - €109k,Closed,Amsterdam,NL,1,,2022-10-21 16:15:12,2022-11-21 18:36:53,Transformation & Change,Hybrid,Amsterdam
98,546,106,106,Head of Compliance,H,€84k - €104k,Full,Paris,FR,1,2022-12-20 14:49:12,2022-10-21 14:00:15,2022-11-24 18:15:36,Risk & Compliance,Hybrid,Paris
99,381,65,65,Claims Handler,H,94000,Full,Dublin,IE,1,2022-12-21 14:00:33,2022-10-22 18:39:01,2022-11-27 17:32:08,"Underwriting, Broking & Claims",Hybrid,Dublin
100,453,81,81,Business Analyst,H,€88k - €104k,Full,Amsterdam,NL,1,2022-12-21 08:20:41,2022-10-22 13:49:49,2022-12-02 18:52:27,Transformation & Change,Office,Amsterdam
101,418,83,83,Credit Risk Analyst,H,"103,000",Full,Amsterdam,NL,1,2022-12-21 12:49:15,2022-10-22 14:20:23,2022-12-02 14:27:47,Risk & Compliance,Hybrid,Amsterdam
102,461,91,91,Senior Financial Controller,H,"92,000",Full,Brussels,BE,1,2022-12-21 13:56:28,2022-10-22 08:15:24,2022-12-06 11:22:08,"Accountancy, Finance & Audit",Hybrid,Brussels
103,695,136,136,Internal Auditor,H,73000,Full,Zurich,CH,1,2022-12-21 15:40:36,2022-10-22 08:25:06,2022-12-03 10:51:51,"Accountancy, Finance & Audit",Hybrid,Zurich
104,845,175,175,Casualty Underwriter,H,78000,Closed,Charlotte,US,1,2022-12-21 14:50:09,2022-10-22 15:19:34,2022-11-17 18:43:47,"Underwriting, Broking & Claims",Hybrid,Charlotte
105,878,183,182,Management Accountant,H,HK$477k - HK$559k,Full,Hong Kong,HK,1,2022-12-21 11:00:57,2022-10-22 15:09:11,2022-11-25 13:24:59,"Accountancy, Finance & Audit",Hybrid,Hong Kong
106,886,186,186,Senior Financial Controller,H,698000,Full,Hong Kong,HK,1,2022-12-21 08:49:34,2022-10-22 10:04:27,2022-11-23 14:56:51,"Accountancy, Finance & Audit",Hybrid,Hong Kong
107,971,208,208,Claims Handler,H,RM183k - RM209k,Closed,Kuala Lumpur,MY,2,2022-12-21 15:24:20,2022-10-22 13:06:05,2022-11-26 11:37:00,"Underwriting, Broking & Claims",Office,Malaysia
108,24,14,14,Internal Auditor,H,GBP 45k,Full,Manchester,GB,1,2022-12-22 18:55:42,2022-10-23 14:34:47,2022-11-29 11:40:01,"Accountancy, Finance & Audit",Hybrid,Manchester
109,129,22,20,Senior Software Engineer,H,GBP 61k,Full,Manchester,GB,1,,2022-10-23 11:58:24,2022-12-17 15:14:06,Technology,Office,Manchester
110,844,174,174,Claims Manager,H,88000,Closed,Charlotte,US,1,2022-12-22 12:21:54,2022-10-23 08:04:55,2022-11-16 18:43:53,"Underwriting, Broking & Claims",Remote,Charlotte
111,4,13,13,Senior Property Underwriter,H,GBP 46k,Closed,Manchester,GB,2,2022-12-23 16:44:47,2022-10-24 17:12:24,2022-11-21 09:27:56,"Underwriting, Broking & Claims",Hybrid,Manchester
112,308,29,29,Commercial Lawyer,H,"118,000",Full,London,GB,1,2022-12-23 13:58:35,2022-10-24 15:50:02,2022-12-02 13:33:38,Legal,Hybrid,London
113,212,32,32,Senior Software Engineer,H,£91k - £109k,Full,London,GB,1,2022-12-23 15:11:57,2022-10-24 15:51:48,2022-12-04 10:28:47,Technology,Hybrid,London
114,460,93,93,Reserving Actuary,H,€77k - €93k,OnHold,Brussels,BE,1,2022-12-23 16:04:39,2022-10-24 14:11:49,2022-11-22 14:45:41,Actuarial,Hybrid,Brussels
115,586,123,123,Account Executive,H,"70,000",Full,Paris,FR,1,2022-12-23 15:40:42,2022-10-24 11:49:59,2022-12-06 09:20:28,"Underwriting, Broking & Claims",Hybrid,Paris
116,835,177,177,Senior Casualty Underwriter,H,$83k - $102k,Closed,Charlotte,US,1,2022-12-23 17:04:03,2022-10-24 11:13:10,2022-11-24 14:44:42,"Underwriting, Broking & Claims",Hybrid,Charlotte
117,168,28,28,Actuarial Analyst,H,GBP 76k,Closed,London,GB,2,2022-12-24 10:03:23,2022-10-25 12:46:26,2022-11-13 09:18:54,Actuarial,Hybrid,London
118,178,49,47,Senior Business Analyst,H,"88,000",Closed,London,GB,1,2022-12-24 13:35:45,2022-10-25 18:39:52,2022-11-30 12:46:07,Transformation & Change,Hybrid,London
119,193,57,57,Senior Reserving Actuary,H,£87k - £101k,Closed,London,GB,2,2022-12-24 16:03:41,2022-10-25 10:42:13,2022-12-23 14:11:48,Actuarial,Hybrid,London
120,515,101,101,Regulatory Lawyer,H,"84,000",Full,Madrid,ES,1,2022-12-24 16:08:13,2022-10-25 13:52:28,2022-11-28 12:01:04,Legal,Hybrid,Madrid
121,566,109,109,Paralegal,H,€114k - €136k,Closed,Paris,FR,1,2022-12-24 13:33:20,2022-10-25 15:46:12,2022-11-17 08:26:15,Legal,Remote,Paris
122,179,40,40,Senior Capital Modelling Actuary,H,£105k - £130k,Closed,London,GB,1,,2022-10-26 10:34:06,2022-11-21 09:10:23,Actuarial,Hybrid,London
123,169,47,47,Senior Project Manager,H,£84k - £97k,Full,London,GB,1,,2022-10-26 14:04:46,2022-11-30 12:10:05,Transformation & Change,Office,London
124,502,98,98,In-house Counsel,H,€76k - €95k,Closed,Madrid,ES,1,2022-12-25 12:22:55,2022-10-26 08:51:42,2023-01-10 17:18:08,Legal,Office,Madrid
125,548,110,110,Senior Change Manager,H,€74k - €90k,Full,Paris,FR,1,2022-12-25 11:24:01,2022-10-26 11:11:10,2022-12-07 12:38:01,Transformation & Change,Hybrid,Paris
126,714,161,158,Senior Management Accountant,H,$122k - $144k,Full,New York,US,1,2022-12-25 17:13:44,2022-10-26 13:06:37,2022-12-18 17:51:09,"Accountancy, Finance & Audit",Hybrid,New York
127,835,176,174,Property Underwriter,H,$103k - $116k,Closed,Charlotte,US,2,2022-12-25 08:13:20,2022-10-26 16:59:28,2022-12-02 08:00:26,"Underwriting, Broking & Claims",Hybrid,Charlotte
128,383,67,67,Claims Manager,H,80000,Full,Dublin,IE,1,2022-12-26 09:36:06,2022-10-27 13:51:44,2022-12-15 12:59:23,"Underwriting, Broking & Claims",Hybrid,Dublin
129,342,75,75,Senior FP&A Analyst,H,EUR 76k,Closed,Dublin,IE,1,2022-12-26 14:07:18,2022-10-27 11:11:07,2022-11-24 14:52:25,"Accountancy, Finance & Audit",Office,Dublin
130,504,100,100,In-house Counsel,H,"62,000",Closed,Madrid,ES,1,2022-12-26 16:32:13,2022-10-27 11:06:17,2022-11-27 09:39:46,Legal,Office,Madrid
131,902,183,183,Head of Compliance,H,HKD 568k,Closed,Hong Kong,HK,1,2022-12-26 09:55:30,2022-10-27 11:16:04,2022-11-24 15:04:15,Risk & Compliance,Hybrid,Hong Kong
132,947,194,194,Senior Business Analyst,H,S$141k - S$158k,Full,Singapore,SG,1,2022-12-26 13:12:55,2022-10-27 17:44:39,2022-12-06 15:47:38,Transformation & Change,Hybrid,Singapore
133,96,12,12,Programme Director,H,"66,000",Closed,Manchester,GB,1,,2022-10-28 10:15:26,2022-11-21 16:38:34,Transformation & Change,Hybrid,Manchester
134,522,99,99,Paralegal,H,86000,Full,Madrid,ES,2,2022-12-27 18:36:15,2022-10-28 15:10:04,2022-12-31 14:30:25,Legal,Hybrid,Madrid
135,722,159,158,Software Engineer,H,168000,Full,New York,US,1,2022-12-27 13:35:38,2022-10-28 11:00:03,2022-12-20 12:34:40,Technology,Hybrid,New York
136,965,209,207,Senior Casualty Underwriter,H,RM177k - RM217k,Closed,Kuala Lumpur,MY,2,2022-12-27 18:14:23,2022-10-28 11:43:37,2022-11-23 12:53:04,"Underwriting, Broking & Claims",Office,Malaysia
137,714,168,168,Senior Capital Modelling Actuary,H,163000,Full,New York,US,1,2022-12-28 18:24:58,2022-10-29 15:34:23,2022-12-17 09:47:30,Actuarial,Office,New York
138,3,23,23,BI Developer,H,£86k - £104k,Full,Manchester,GB,1,2022-12-29 15:58:10,2022-10-30 09:11:04,2022-11-27 16:46:02,Technology,Hybrid,Manchester
139,176,40,40,Operational Risk Manager,H,£87k - £107k,Full,London,GB,1,2022-12-29 12:27:06,2022-10-30 18:48:23,2022-12-20 14:02:22,Risk & Compliance,Office,London
140,374,64,64,Tax Manager,H,54000,Full,Dublin,IE,1,2022-12-29 14:07:54,2022-10-30 13:49:31,2022-11-28 15:25:37,"Accountancy, Finance & Audit",Remote,Dublin
141,560,108,108,Business Analyst,H,62000,Closed,Paris,FR,2,,2022-10-30 15:03:47,2022-11-22 14:43:51,Transformation & Change,Hybrid,Paris
142,807,148,146,Credit Risk Analyst,H,$105k - $116k,Full,New York,US,1,,2022-10-30 16:45:28,2022-12-03 10:42:41,Risk & Compliance,Hybrid,New York
143,919,195,195,Senior Paralegal,H,126000,Closed,Singapore,SG,1,2022-12-29 13:24:25,2022-10-30 10:07:47,2022-11-28 10:01:02,Legal,Office,Singapore
144,191,55,55,Account Executive,H,68000,Closed,London,GB,1,2022-12-30 13:40:16,2022-10-31 15:29:15,2022-11-28 08:17:36,"Underwriting, Broking & Claims",Hybrid,London
145,716,147,147,Change Manager,H,117000,Full,New York,US,1,2022-12-30 17:22:30,2022-10-31 14:24:53,2022-12-19 16:13:55,Transformation & Change,Office,New York
146,712,149,149,Senior Claims Manager,H,$113k - $134k,Full,New York,US,1,2022-12-30 08:57:49,2022-10-31 17:09:22,2022-12-16 17:26:35,"Underwriting, Broking & Claims",Office,New York
147,32,6,6,Management Accountant,H,71000,Full,Manchester,GB,1,2022-12-31 09:46:46,2022-11-01 09:32:50,2022-11-28 11:40:33,"Accountancy, Finance & Audit",Hybrid,Manchester
148,37,7,6,Financial Controller,H,Competitive,Full,Manchester,GB,1,2022-12-31 10:12:26,2022-11-01 17:42:42,2022-11-29 13:46:54,"Accountancy, Finance & Audit",Hybrid,Manchester
149,20,12,12,Property Underwriter,H,52000,Full,Manchester,GB,1,,2022-11-01 17:23:15,2022-12-25 12:12:45,"Underwriting, Broking & Claims",Office,Manchester
150,168,37,37,Credit Risk Analyst,H,£66k - £82k,OnHold,London,GB,1,,2022-11-01 14:11:25,2022-11-23 12:23:06,Risk & Compliance,Hybrid,London
