doc_no,doc_type,placement_ref,doc_date,net_amount,currency,modified_at
INV-100027,INV,PL-000027,30/12/2022,22760.8,EUR,31/12/2022 11:50
INV-100028,INV,PL-000028,14/01/2023,18201.6,EUR,15/01/2023 14:00
INV-100029,INV,PL-000029,12/01/2023,24328.8,SGD,13/01/2023 16:35
INV-100030,INV,PL-000030,29/01/2023,15221.6,EUR,29/01/2023 14:43
INV-100031,INV,PL-000031,05/02/2023,11760.0,GBP,07/02/2023 14:19
INV-100032,INV,PL-000032,10/02/2023,20623.6,USD,12/02/2023 10:27
INV-100033,INV,PL-000033,04/02/2023,15049.8,GBP,04/02/2023 16:37
INV-100034,INV,PL-000034,02/01/2023,20188.0,GBP,03/01/2023 15:33
INV-100035,INV,PL-000035,13/01/2023,150886.9,HKD,14/01/2023 08:51
INV-100036,INV,PL-000036,24/01/2023,24588.2,USD,24/01/2023 11:31
INV-100037,INV,PL-000037,07/02/2023,26098.4,CHF,07/02/2023 07:05
CRN-200003,CRN,PL-000037,20/03/2023,13049.2,CHF,20/03/2023 15:01
INV-100038,INV,PL-000038,02/02/2023,19458.0,EUR,04/02/2023 16:46
INV-100039,INV,PL-000039,12/01/2023,15365.0,EUR,12/01/2023 19:56
INV-100040,INV,PL-000040,16/01/2023,18900.0,USD,16/01/2023 20:25
CRN-200004,CRN,PL-000040,22/03/2023,9450.0,USD,24/03/2023 13:53
INV-100041,INV,PL-000041,20/02/2023,15910.0,GBP,20/02/2023 13:05
INV-100042,INV,PL-000042,28/12/2022,108886.7,HKD,30/12/2022 08:40
INV-100043,INV,PL-000043,30/12/2022,11148.4,EUR,31/12/2022 07:32
INV-100044,INV,PL-000044,12/02/2023,21697.2,USD,12/02/2023 07:54
INV-100045,INV,PL-000045,12/01/2023,11782.0,EUR,14/01/2023 18:42
INV-100046,INV,PL-000046,15/02/2023,17706.0,GBP,16/02/2023 17:06
INV-100047,INV,PL-000047,26/01/2023,29211.7,CHF,28/01/2023 14:36
INV-100048,INV,PL-000048,07/01/2023,21078.4,GBP,07/01/2023 17:43
INV-100049,INV,PL-000049,12/01/2023,18600.4,GBP,14/01/2023 07:21
INV-100050,INV,PL-000050,01/01/2023,16718.8,EUR,03/01/2023 14:05
INV-100051,INV,PL-000051,01/02/2023,18537.7,GBP,01/02/2023 07:56
CRN-200005,CRN,PL-000051,15/03/2023,9268.85,GBP,17/03/2023 11:21
INV-100052,INV,PL-000052,03/01/2023,13087.2,EUR,03/01/2023 19:16
INV-100053,INV,PL-000053,05/01/2023,16564.0,EUR,06/01/2023 20:09
INV-100054,INV,PL-000054,06/02/2023,16612.4,GBP,06/02/2023 15:34
CRN-200006,CRN,PL-000054,30/04/2023,4153.1,GBP,02/05/2023 09:38
INV-100055,INV,PL-000055,01/02/2023,10312.5,GBP,03/02/2023 12:43
INV-100056,INV,PL-000056,27/02/2023,8079.1,GBP,28/02/2023 20:47
CRN-200007,CRN,PL-000056,22/03/2023,8079.1,GBP,22/03/2023 11:24
INV-100057,INV,PL-000057,05/02/2023,13156.0,GBP,06/02/2023 18:21
INV-100058,INV,PL-000058,27/02/2023,16344.3,GBP,28/02/2023 12:14
INV-100059,INV,PL-000059,31/01/2023,24733.8,CHF,31/01/2023 10:56
INV-100060,INV,PL-000060,24/01/2023,15359.6,CHF,24/01/2023 16:21
INV-100061,INV,PL-000061,24/01/2023,23720.8,GBP,24/01/2023 09:11
INV-100062,INV,PL-000062,20/02/2023,16712.5,GBP,21/02/2023 11:55
INV-100063,INV,PL-000063,14/02/2023,15706.5,EUR,14/02/2023 15:25
CRN-200008,CRN,PL-000063,19/05/2023,3926.62,EUR,21/05/2023 09:14
INV-100064,INV,PL-000064,31/01/2023,22392.2,EUR,31/01/2023 18:27
INV-100065,INV,PL-000065,05/02/2023,16038.0,EUR,05/02/2023 20:26
INV-100066,INV,PL-000066,21/02/2023,22145.0,EUR,23/02/2023 14:47
INV-100067,INV,PL-000067,06/01/2023,21988.0,GBP,07/01/2023 11:42
INV-100068,INV,PL-000068,31/01/2023,20756.4,USD,31/01/2023 10:06
INV-100069,INV,PL-000069,12/02/2023,19237.2,EUR,12/02/2023 18:03
INV-100070,INV,PL-000070,06/02/2023,16834.0,GBP,07/02/2023 09:42
INV-100071,INV,PL-000071,21/02/2023,18407.5,EUR,21/02/2023 19:59
INV-100072,INV,PL-000072,22/01/2023,99237.6,HKD,24/01/2023 16:45
INV-100073,INV,PL-000073,05/01/2023,13492.2,EUR,07/01/2023 15:25
INV-100074,INV,PL-000074,20/02/2023,12691.1,CHF,20/02/2023 09:25
INV-100075,INV,PL-000075,26/02/2023,22609.6,USD,26/02/2023 09:30
INV-100076,INV,PL-000076,06/01/2023,18655.9,GBP,07/01/2023 17:06
INV-100077,INV,PL-000077,01/02/2023,19134.0,GBP,02/02/2023 19:12
INV-100078,INV,PL-000078,04/03/2023,23326.0,GBP,05/03/2023 15:50
INV-100079,INV,PL-000079,03/02/2023,16755.2,GBP,03/02/2023 09:08
INV-100080,INV,PL-000080,16/01/2023,26010.0,USD,16/01/2023 10:05
INV-100081,INV,PL-000081,08/01/2023,20295.0,CHF,09/01/2023 10:42
INV-100082,INV,PL-000082,10/02/2023,14929.9,EUR,12/02/2023 11:38
INV-100083,INV,PL-000083,19/02/2023,18777.5,EUR,21/02/2023 20:29
INV-100084,INV,PL-000084,16/01/2023,14380.8,EUR,18/01/2023 19:35
INV-100085,INV,PL-000085,25/02/2023,28845.6,SGD,27/02/2023 17:22
CRN-200009,CRN,PL-000085,03/06/2023,7211.4,SGD,05/06/2023 10:19
INV-100086,INV,PL-000086,28/02/2023,18231.0,GBP,28/02/2023 16:31
INV-100087,INV,PL-000087,01/03/2023,22908.6,USD,02/03/2023 20:57
INV-100088,INV,PL-000088,16/01/2023,16098.7,GBP,18/01/2023 19:44
INV-100089,INV,PL-000089,03/03/2023,11063.8,EUR,05/03/2023 07:48
INV-100090,INV,PL-000090,09/02/2023,11744.8,EUR,11/02/2023 07:44
INV-100091,INV,PL-000091,31/01/2023,28706.6,USD,02/02/2023 09:00
INV-100092,INV,PL-000092,08/02/2023,14671.8,EUR,10/02/2023 11:25
INV-100093,INV,PL-000093,09/03/2023,27993.0,SGD,09/03/2023 07:34
INV-100094,INV,PL-000094,02/02/2023,20930.4,USD,02/02/2023 11:32
INV-100095,INV,PL-000095,04/02/2023,15330.7,EUR,05/02/2023 17:01
INV-100096,INV,PL-000096,04/03/2023,10962.0,EUR,04/03/2023 14:56
INV-100097,INV,PL-000097,02/03/2023,17576.3,CHF,03/03/2023 12:11
INV-100098,INV,PL-000098,05/03/2023,11566.6,EUR,05/03/2023 15:04
INV-100099,INV,PL-000099,19/02/2023,16173.6,GBP,19/02/2023 08:44
INV-100100,INV,PL-000100,14/03/2023,12510.0,EUR,16/03/2023 10:12
INV-100101,INV,PL-000101,12/03/2023,16948.6,GBP,12/03/2023 13:08
INV-100102,INV,PL-000102,03/03/2023,44044.8,USD,04/03/2023 07:24
INV-100103,INV,PL-000103,17/01/2023,20468.7,USD,18/01/2023 10:47
INV-100104,INV,PL-000104,02/02/2023,23928.2,CHF,04/02/2023 16:10
INV-100105,INV,PL-000105,18/02/2023,15738.0,EUR,18/02/2023 20:55
INV-100106,INV,PL-000106,26/02/2023,33960.5,USD,26/02/2023 17:50
INV-100107,INV,PL-000107,04/03/2023,8793.4,GBP,04/03/2023 13:38
CRN-200010,CRN,PL-000107,26/04/2023,4396.7,GBP,26/04/2023 14:24
INV-100108,INV,PL-000108,05/03/2023,17897.8,EUR,07/03/2023 12:59
INV-100109,INV,PL-000109,09/03/2023,13972.2,GBP,11/03/2023 15:07
INV-100110,INV,PL-000110,13/03/2023,10444.8,GBP,13/03/2023 20:32
INV-100111,INV,PL-000111,23/02/2023,20113.4,USD,24/02/2023 14:35
INV-100112,INV,PL-000112,31/01/2023,14945.4,GBP,31/01/2023 08:57
INV-100113,INV,PL-000113,14/03/2023,15766.2,GBP,15/03/2023 20:02
INV-100114,INV,PL-000114,01/02/2023,29233.8,CHF,01/02/2023 14:08
INV-100115,INV,PL-000115,30/01/2023,26608.2,CHF,31/01/2023 08:32
INV-100116,INV,PL-000116,05/02/2023,23559.2,USD,05/02/2023 18:45
INV-100117,INV,PL-000117,05/02/2023,18048.6,EUR,07/02/2023 13:23
INV-100118,INV,PL-000118,07/03/2023,29954.0,USD,09/03/2023 15:20
CRN-200011,CRN,PL-000118,16/04/2023,14977.0,USD,16/04/2023 11:23
INV-100119,INV,PL-000119,01/02/2023,18087.7,GBP,03/02/2023 09:14
INV-100120,INV,PL-000120,26/01/2023,26266.8,CHF,26/01/2023 15:05
INV-100121,INV,PL-000121,28/01/2023,18022.6,EUR,29/01/2023 14:35
INV-100122,INV,PL-000122,10/02/2023,15125.0,EUR,10/02/2023 10:51
INV-100123,INV,PL-000123,16/02/2023,13003.2,EUR,18/02/2023 20:48
INV-100124,INV,PL-000124,05/03/2023,12418.8,EUR,05/03/2023 17:36
INV-100125,INV,PL-000125,09/03/2023,15926.4,EUR,10/03/2023 15:41
INV-100126,INV,PL-000126,04/03/2023,28857.6,MYR,06/03/2023 16:22
INV-100127,INV,PL-000127,09/03/2023,16416.0,USD,09/03/2023 15:43
INV-100128,INV,PL-000128,03/03/2023,19017.9,USD,05/03/2023 12:27
INV-100129,INV,PL-000129,25/02/2023,41297.6,MYR,27/02/2023 17:59
CRN-200012,CRN,PL-000129,30/05/2023,10324.4,MYR,01/06/2023 12:19
INV-100130,INV,PL-000130,26/02/2023,24648.0,GBP,27/02/2023 07:33
INV-100131,INV,PL-000131,04/03/2023,13621.9,GBP,05/03/2023 18:08
INV-100132,INV,PL-000132,17/03/2023,16543.2,EUR,18/03/2023 16:48
INV-100133,INV,PL-000133,08/02/2023,14660.0,EUR,08/02/2023 17:06
CRN-200013,CRN,PL-000133,30/03/2023,7330.0,EUR,31/03/2023 14:24
INV-100134,INV,PL-000134,11/03/2023,42750.0,MYR,11/03/2023 08:54
INV-100135,INV,PL-000135,30/01/2023,19168.5,EUR,31/01/2023 17:08
INV-100136,INV,PL-000136,17/02/2023,12159.9,GBP,19/02/2023 15:06
CRN-200014,CRN,PL-000136,02/05/2023,3039.97,GBP,04/05/2023 13:12
INV-100137,INV,PL-000137,25/02/2023,33369.0,USD,27/02/2023 16:34
INV-100138,INV,PL-000138,24/03/2023,19201.4,CHF,25/03/2023 10:34
CRN-200015,CRN,PL-000138,24/05/2023,9600.7,CHF,25/05/2023 15:47
INV-100139,INV,PL-000139,26/03/2023,11044.8,GBP,27/03/2023 15:20
INV-100140,INV,PL-000140,17/03/2023,16891.0,EUR,19/03/2023 15:16
INV-100141,INV,PL-000141,28/03/2023,17038.5,USD,28/03/2023 14:25
INV-100142,INV,PL-000142,25/01/2023,27014.4,CHF,27/01/2023 15:38
INV-100143,INV,PL-000143,05/02/2023,18096.0,CHF,07/02/2023 16:09
CRN-200016,CRN,PL-000143,16/03/2023,9048.0,CHF,18/03/2023 12:29
INV-100144,INV,PL-000144,23/03/2023,19138.4,EUR,25/03/2023 15:22
INV-100145,INV,PL-000145,17/03/2023,14158.9,EUR,19/03/2023 10:47
INV-100146,INV,PL-000146,19/03/2023,15419.2,GBP,21/03/2023 15:29
INV-100147,INV,PL-000147,17/03/2023,22325.0,CHF,18/03/2023 18:29
INV-100148,INV,PL-000148,03/02/2023,12964.2,GBP,03/02/2023 07:00
INV-100149,INV,PL-000149,12/02/2023,14014.0,GBP,13/02/2023 17:55
INV-100150,INV,PL-000150,14/02/2023,13270.4,EUR,15/02/2023 18:36
INV-100151,INV,PL-000151,22/02/2023,36874.7,USD,24/02/2023 07:14
INV-100152,INV,PL-000152,25/02/2023,12427.0,GBP,27/02/2023 09:24
INV-100153,INV,PL-000153,06/03/2023,26676.0,SGD,06/03/2023 11:05
INV-100154,INV,PL-000154,08/03/2023,9732.8,GBP,08/03/2023 15:22
INV-100155,INV,PL-000155,15/02/2023,15147.0,EUR,15/02/2023 19:57
INV-100156,INV,PL-000156,26/03/2023,13505.4,EUR,28/03/2023 08:11
INV-100157,INV,PL-000157,26/03/2023,18725.9,GBP,26/03/2023 19:57
INV-100158,INV,PL-000158,14/03/2023,20019.4,USD,16/03/2023 09:48
INV-100159,INV,PL-000159,21/02/2023,22326.0,USD,23/02/2023 09:38
INV-100160,INV,PL-000160,05/03/2023,14344.4,EUR,05/03/2023 15:45
INV-100161,INV,PL-000161,25/02/2023,28043.3,SGD,27/02/2023 11:47
INV-100162,INV,PL-000162,25/03/2023,21355.4,SGD,27/03/2023 18:35
INV-100163,INV,PL-000163,04/04/2023,15405.0,EUR,06/04/2023 18:56
INV-100164,INV,PL-000164,11/02/2023,20506.2,GBP,11/02/2023 18:28
INV-100165,INV,PL-000165,24/02/2023,16497.1,GBP,25/02/2023 17:41
INV-100166,INV,PL-000166,12/02/2023,13507.9,GBP,12/02/2023 07:46
INV-100167,INV,PL-000167,14/03/2023,23745.2,MYR,16/03/2023 20:29
INV-100168,INV,PL-000168,18/03/2023,31435.6,USD,20/03/2023 18:08
INV-100169,INV,PL-000169,13/02/2023,100748.9,HKD,13/02/2023 08:46
INV-100170,INV,PL-000170,04/03/2023,17362.8,GBP,04/03/2023 13:35
INV-100171,INV,PL-000171,02/04/2023,15272.4,GBP,04/04/2023 10:40
INV-100172,INV,PL-000172,19/02/2023,28905.4,CHF,19/02/2023 19:06
INV-100173,INV,PL-000173,11/03/2023,16708.8,GBP,11/03/2023 19:11
INV-100174,INV,PL-000174,08/03/2023,15523.2,GBP,09/03/2023 13:29
INV-100175,INV,PL-000175,31/03/2023,19791.8,EUR,02/04/2023 18:31
INV-100176,INV,PL-000176,24/02/2023,19563.6,EUR,26/02/2023 18:22
INV-100177,INV,PL-000177,01/04/2023,19168.2,GBP,03/04/2023 18:24
CRN-200017,CRN,PL-000177,03/06/2023,4792.05,GBP,05/06/2023 10:56
INV-100178,INV,PL-000178,27/02/2023,12308.0,GBP,27/02/2023 08:29
CRN-200018,CRN,PL-000178,26/03/2023,12308.0,GBP,26/03/2023 16:06
INV-100179,INV,PL-000179,07/04/2023,83625.6,HKD,09/04/2023 18:52
INV-100180,INV,PL-000180,18/02/2023,14578.0,EUR,18/02/2023 17:58
INV-100181,INV,PL-000181,22/02/2023,45731.3,MYR,23/02/2023 15:32
INV-100182,INV,PL-000182,06/03/2023,15837.5,GBP,08/03/2023 15:14
INV-100183,INV,PL-000183,01/04/2023,29854.6,CHF,02/04/2023 09:34
INV-100184,INV,PL-000184,15/02/2023,143903.5,HKD,16/02/2023 11:27
INV-100185,INV,PL-000185,19/02/2023,19585.8,EUR,20/02/2023 11:48
INV-100186,INV,PL-000186,24/03/2023,17464.0,EUR,26/03/2023 12:24
INV-100187,INV,PL-000187,04/03/2023,19312.0,CHF,04/03/2023 20:42
INV-100188,INV,PL-000188,19/03/2023,26910.0,CHF,21/03/2023 12:35
INV-100189,INV,PL-000189,09/04/2023,27435.2,USD,11/04/2023 13:16
INV-100190,INV,PL-000190,19/02/2023,20249.8,EUR,19/02/2023 10:11
INV-100191,INV,PL-000191,01/04/2023,22531.6,CHF,03/04/2023 17:42
INV-100192,INV,PL-000192,18/02/2023,18942.0,CHF,18/02/2023 19:16
INV-100193,INV,PL-000193,03/04/2023,19116.8,GBP,04/04/2023 10:22
INV-100194,INV,PL-000194,02/03/2023,17620.0,USD,02/03/2023 08:56
INV-100195,INV,PL-000195,22/03/2023,30176.0,USD,23/03/2023 19:16
INV-100196,INV,PL-000196,04/03/2023,18295.2,EUR,04/03/2023 11:14
INV-100197,INV,PL-000197,03/03/2023,15669.5,EUR,05/03/2023 11:38
INV-100198,INV,PL-000198,19/03/2023,12659.9,EUR,21/03/2023 13:08
INV-100199,INV,PL-000199,14/03/2023,16799.4,USD,14/03/2023 13:40
INV-100200,INV,PL-000200,08/04/2023,17242.2,GBP,10/04/2023 15:30
CRN-200019,CRN,PL-000200,10/06/2023,4310.55,GBP,10/06/2023 07:18
INV-100201,INV,PL-000201,18/02/2023,26915.2,USD,20/02/2023 17:47
INV-100202,INV,PL-000202,21/03/2023,14023.9,EUR,21/03/2023 16:35
INV-100203,INV,PL-000203,07/04/2023,113960.0,HKD,09/04/2023 11:28
INV-100204,INV,PL-000204,11/03/2023,16912.0,GBP,13/03/2023 12:13
INV-100205,INV,PL-000205,16/03/2023,15562.8,GBP,16/03/2023 09:40
INV-100206,INV,PL-000206,06/04/2023,139876.0,HKD,08/04/2023 20:20
INV-100207,INV,PL-000207,21/03/2023,10047.1,GBP,23/03/2023 14:28
INV-100208,INV,PL-000208,27/02/2023,102247.6,HKD,28/02/2023 14:04
CRN-200020,CRN,PL-000208,07/05/2023,51123.8,HKD,09/05/2023 09:52
INV-100209,INV,PL-000209,01/04/2023,22222.4,USD,01/04/2023 09:09
INV-100210,INV,PL-000210,21/04/2023,14505.4,GBP,23/04/2023 19:52
INV-100211,INV,PL-000211,12/03/2023,18120.0,GBP,13/03/2023 09:28
INV-100212,INV,PL-000212,16/03/2023,15008.0,EUR,16/03/2023 07:46
INV-100213,INV,PL-000213,22/04/2023,19094.4,GBP,22/04/2023 20:27
INV-100214,INV,PL-000214,17/04/2023,15733.9,GBP,19/04/2023 13:38
INV-100215,INV,PL-000215,06/04/2023,21578.4,EUR,06/04/2023 17:38
INV-100216,INV,PL-000216,04/04/2023,19666.9,EUR,06/04/2023 18:36
INV-100217,INV,PL-000217,27/03/2023,20451.2,GBP,29/03/2023 13:08
CRN-200021,CRN,PL-000217,03/05/2023,20451.2,GBP,05/05/2023 07:16
INV-100218,INV,PL-000218,05/03/2023,12584.7,GBP,05/03/2023 10:47
INV-100219,INV,PL-000219,24/03/2023,14406.0,GBP,25/03/2023 16:24
INV-100220,INV,PL-000220,20/04/2023,32939.2,MYR,20/04/2023 07:17
INV-100221,INV,PL-000221,04/04/2023,17238.0,GBP,04/04/2023 12:51
INV-100222,INV,PL-000222,28/04/2023,13811.6,CHF,29/04/2023 12:59
INV-100223,INV,PL-000223,27/04/2023,11931.0,EUR,28/04/2023 08:51
INV-100224,INV,PL-000224,14/04/2023,9922.5,EUR,16/04/2023 15:31
INV-100225,INV,PL-000225,23/04/2023,28486.2,CHF,24/04/2023 20:20
INV-100226,INV,PL-000226,13/03/2023,27013.0,USD,15/03/2023 11:09
INV-100227,INV,PL-000227,25/03/2023,20430.9,EUR,27/03/2023 15:24
INV-100228,INV,PL-000228,24/03/2023,12992.6,EUR,26/03/2023 08:21
INV-100229,INV,PL-000229,18/04/2023,15415.4,GBP,19/04/2023 09:39
INV-100230,INV,PL-000230,13/04/2023,12490.6,GBP,14/04/2023 17:27
INV-100231,INV,PL-000231,30/03/2023,16434.0,EUR,30/03/2023 19:03
CRN-200022,CRN,PL-000231,23/05/2023,8217.0,EUR,23/05/2023 07:49
INV-100232,INV,PL-000232,20/04/2023,21822.5,SGD,20/04/2023 17:19
INV-100233,INV,PL-000233,22/03/2023,21465.6,EUR,22/03/2023 10:40
INV-100234,INV,PL-000234,20/04/2023,13228.8,EUR,21/04/2023 15:11
INV-100235,INV,PL-000235,19/03/2023,16356.0,GBP,21/03/2023 16:00
CRN-200023,CRN,PL-000235,23/04/2023,16356.0,GBP,23/04/2023 16:33
INV-100236,INV,PL-000236,14/03/2023,12406.2,EUR,14/03/2023 07:38
INV-100237,INV,PL-000237,18/04/2023,15980.4,GBP,19/04/2023 18:35
INV-100238,INV,PL-000238,06/04/2023,17748.0,SGD,06/04/2023 17:57
CRN-200024,CRN,PL-000238,30/05/2023,8874.0,SGD,30/05/2023 07:16
INV-100239,INV,PL-000239,11/03/2023,14624.0,EUR,12/03/2023 20:19
INV-100240,INV,PL-000240,12/04/2023,19642.0,EUR,14/04/2023 10:03
INV-100241,INV,PL-000241,11/03/2023,18321.9,EUR,12/03/2023 20:11
INV-100242,INV,PL-000242,19/04/2023,34400.4,USD,19/04/2023 09:36
INV-100243,INV,PL-000243,11/03/2023,17823.4,EUR,13/03/2023 15:24
CRN-200025,CRN,PL-000243,03/05/2023,8911.7,EUR,04/05/2023 20:13
INV-100244,INV,PL-000244,13/04/2023,13433.0,GBP,14/04/2023 20:25
INV-100245,INV,PL-000245,20/04/2023,17982.0,EUR,21/04/2023 20:58
INV-100246,INV,PL-000246,08/05/2023,17569.5,GBP,10/05/2023 19:43
INV-100247,INV,PL-000247,02/04/2023,10692.0,EUR,02/04/2023 10:07
INV-100248,INV,PL-000248,02/04/2023,13744.5,GBP,04/04/2023 10:09
INV-100249,INV,PL-000249,02/04/2023,26790.4,USD,04/04/2023 20:21
INV-100250,INV,PL-000250,01/05/2023,115532.0,HKD,01/05/2023 12:29
INV-100251,INV,PL-000251,31/03/2023,15621.6,GBP,02/04/2023 09:01
CRN-200026,CRN,PL-000251,09/04/2023,15621.6,GBP,11/04/2023 11:42
INV-100252,INV,PL-000252,21/03/2023,112720.8,HKD,23/03/2023 10:24
INV-100253,INV,PL-000253,29/03/2023,19299.0,EUR,31/03/2023 09:33
INV-100254,INV,PL-000254,18/03/2023,13840.0,GBP,19/03/2023 18:42
INV-100255,INV,PL-000255,20/04/2023,18091.8,GBP,21/04/2023 19:33
INV-100256,INV,PL-000256,24/03/2023,16418.6,GBP,26/03/2023 20:14
INV-100257,INV,PL-000257,04/04/2023,6601.5,GBP,06/04/2023 17:40
INV-100258,INV,PL-000258,09/04/2023,17446.8,EUR,11/04/2023 14:57
INV-100259,INV,PL-000259,27/03/2023,13074.4,EUR,29/03/2023 13:46
INV-100260,INV,PL-000260,12/05/2023,40536.3,MYR,13/05/2023 12:06
INV-100261,INV,PL-000261,01/04/2023,11070.0,EUR,02/04/2023 18:40
INV-100262,INV,PL-000262,14/04/2023,16479.1,GBP,16/04/2023 10:33
INV-100263,INV,PL-000263,19/04/2023,26478.0,USD,21/04/2023 10:44
INV-100264,INV,PL-000264,19/04/2023,13094.4,GBP,20/04/2023 12:36
INV-100265,INV,PL-000265,23/04/2023,21040.5,USD,25/04/2023 10:41
CRN-200027,CRN,PL-000265,17/05/2023,21040.5,USD,18/05/2023 07:51
INV-100266,INV,PL-000266,04/04/2023,157385.9,HKD,05/04/2023 15:56
INV-100267,INV,PL-000267,01/04/2023,157580.0,HKD,03/04/2023 14:55
INV-100268,INV,PL-000268,06/05/2023,8810.2,GBP,08/05/2023 10:50
INV-100269,INV,PL-000269,12/04/2023,7956.0,GBP,12/04/2023 20:52
INV-100270,INV,PL-000270,21/03/2023,10416.0,GBP,22/03/2023 11:07
INV-100271,INV,PL-000271,01/04/2023,12729.6,GBP,01/04/2023 15:46
INV-100272,INV,PL-000272,03/04/2023,12424.8,EUR,05/04/2023 17:07
INV-100273,INV,PL-000273,20/04/2023,17361.9,GBP,21/04/2023 08:14
INV-100274,INV,PL-000274,02/04/2023,157564.5,HKD,02/04/2023 18:12
INV-100275,INV,PL-000275,03/04/2023,19427.2,GBP,04/04/2023 14:54
INV-100276,INV,PL-000276,06/04/2023,18488.2,GBP,06/04/2023 19:04
INV-100277,INV,PL-000277,06/05/2023,12359.6,GBP,06/05/2023 16:13
INV-100278,INV,PL-000278,04/04/2023,11507.0,GBP,05/04/2023 17:15
CRN-200028,CRN,PL-000278,09/05/2023,5753.5,GBP,10/05/2023 17:17
INV-100279,INV,PL-000279,25/04/2023,12407.7,GBP,25/04/2023 07:13
INV-100280,INV,PL-000280,19/04/2023,29060.0,CHF,21/04/2023 10:30
INV-100281,INV,PL-000281,09/05/2023,22684.5,GBP,09/05/2023 07:06
INV-100282,INV,PL-000282,07/05/2023,14976.0,EUR,07/05/2023 14:16
INV-100283,INV,PL-000283,09/04/2023,134301.6,HKD,11/04/2023 09:39
INV-100284,INV,PL-000284,31/03/2023,22283.8,USD,31/03/2023 09:06
INV-100285,INV,PL-000285,16/04/2023,18622.4,EUR,17/04/2023 20:02
INV-100286,INV,PL-000286,28/03/2023,15940.8,GBP,28/03/2023 18:16
INV-100287,INV,PL-000287,01/05/2023,14960.0,GBP,01/05/2023 10:28
INV-100288,INV,PL-000288,01/05/2023,22425.7,EUR,03/05/2023 18:59
INV-100289,INV,PL-000289,06/05/2023,14471.4,GBP,06/05/2023 11:48
INV-100290,INV,PL-000290,06/05/2023,21497.9,MYR,06/05/2023 12:33
INV-100291,INV,PL-000291,01/05/2023,25958.4,CHF,01/05/2023 11:29
INV-100292,INV,PL-000292,19/04/2023,14268.8,EUR,20/04/2023 13:15
INV-100293,INV,PL-000293,12/04/2023,14775.2,GBP,12/04/2023 13:41
INV-100294,INV,PL-000294,27/03/2023,20978.1,USD,28/03/2023 17:13
INV-100295,INV,PL-000295,15/04/2023,100668.3,HKD,15/04/2023 11:02
INV-100296,INV,PL-000296,21/04/2023,13896.0,EUR,22/04/2023 15:00
INV-100297,INV,PL-000297,22/05/2023,15891.5,EUR,22/05/2023 10:23
INV-100298,INV,PL-000298,06/05/2023,16085.4,EUR,08/05/2023 15:15
INV-100299,INV,PL-000299,06/04/2023,16274.0,EUR,07/04/2023 09:39
INV-100300,INV,PL-000300,07/04/2023,28804.5,USD,07/04/2023 10:02
INV-100301,INV,PL-000301,11/04/2023,31606.4,CHF,12/04/2023 11:06
INV-100302,INV,PL-000302,29/04/2023,11440.9,EUR,01/05/2023 11:46
INV-100303,INV,PL-000303,25/04/2023,17429.4,GBP,25/04/2023 11:07
